last_update,station,city,state,latitude,longitude,aqi,pm25,pm10,no2,so2,co,o3,nh3,timestamp
2026-09-01 23:00:00,"SAC ISRO Bopal, Ahmedabad - IITM",Ahmedabad,Gujarat,23.041137,72.456691,351,33.28,39.13,16.66,3.27,25.3,18.05,4.11,2026-09-02 09:52:14
2026-09-01 23:00:00,"Chauhan Colony, Chandrapur - MPCB",Chandrapur,Maharashtra,19.9629,79.298714,374,45.93,65.77,14.99,11.96,31.68,3.79,1.09,2026-09-02 09:52:19
2026-09-01 23:00:00,"IIT Delhi, Delhi - IITM",Delhi,Delhi,28.54246,77.191651,254,46.82,130.57,22.09,,12.75,36.02,,2026-09-02 09:52:24
2026-09-01 23:00:00,"KHB Colony, Karwar - KSPCB",Karwar,Karnataka,14.816666,74.141003,101,59.34,38.38,13.05,,,,1.97,2026-09-02 09:52:29
2026-09-01 23:00:00,"Prashant Garden, Khora - UPPCB",Khora,Uttar Pradesh,28.61119,77.34206,444,87.24,83.45,23.69,,42.34,13.55,4.81,2026-09-02 09:52:34
2026-09-01 23:00:00,"Model Town, Patiala - PPCB",Patiala,Punjab,30.349388,76.366642,313,28.9,50.84,15.79,18.23,18.37,30.99,5.87,2026-09-02 09:52:39
2026-09-01 23:00:00,"Mahal, Nagpur - MPCB",Nagpur,Maharashtra,21.14472,79.107595,464,35.07,44.8,12.92,5.55,46.41,15.18,2.71,2026-09-02 09:52:44
2026-09-01 23:00:00,"Maldahiya, Varanasi - UPPCB",Varanasi,Uttar Pradesh,25.32393,82.99687,342,20.28,33.33,2.83,30.25,24.67,3.86,0.0,2026-09-02 09:52:49
2026-09-01 23:00:00,"Sita Rama Nagar, Kurnool - APPCB",Kurnool,Andhra Pradesh,15.83411,78.028546,301,38.1,35.87,32.76,10.33,19.26,22.26,6.53,2026-09-02 09:52:54
2026-09-01 23:00:00,"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,26.219512,81.237648,499,34.22,76.61,13.19,13.97,81.19,66.52,,2026-09-02 09:52:59
2026-09-01 23:00:00,"Thavakkara, Kannur - Kerala PCB",Kannur,Kerala,11.875,75.3732,313,74.38,77.19,10.43,0.0,20.87,28.96,1.09,2026-09-02 09:53:05
2026-09-01 23:00:00,"Burari Crossing, Delhi - IITM",Delhi,Delhi,28.7256504,77.2011573,495,46.51,92.75,43.75,,108.2,73.85,,2026-09-02 09:53:10
2026-09-01 23:00:00,"Ghusuri, Howrah - WBPCB",Howrah,West Bengal,22.611968,88.347422,364,42.03,47.42,47.62,9.74,27.99,21.35,2.92,2026-09-02 09:53:15
2026-09-01 23:00:00,"Khindipada-Bhandup West, Mumbai - IITM",Mumbai,Maharashtra,19.1653323,72.922099,419,9.8,33.03,11.37,7.14,33.97,7.48,1.94,2026-09-02 09:53:20
2026-09-01 23:00:00,"Murthal, Sonipat - HSPCB",Sonipat,Haryana,29.0272,77.0621,500,32.7,56.13,7.65,37.73,72.16,45.37,9.45,2026-09-02 09:53:25
2026-09-01 23:00:00,"Gangapur Road, Nashik - MPCB",Nashik,Maharashtra,20.0073285,73.7762427,355,13.5,23.85,4.54,3.83,29.15,10.59,2.73,2026-09-02 09:53:30
